normalized,total_count,num_variants,variants_with_counts
qwen_2.5_coder_instruct_32b,2,2,Qwen2.5-Coder-Instruct-32B (1); Qwen2.5-coder-instruct-32B (1)
qwen_2.5_coder_instruct_7b,2,2,Qwen2.5-Coder-Instruct-7B (1); Qwen2.5-coder-instruct-7B (1)
qwen_2.5_math_72b,2,2,Qwen-2.5-Math-72B (1); Qwen2.5-Math-72B (1)
qwen_2.5_vl_instruct_32b,2,2,Qwen-2.5-VL-Instruct-32B (1); Qwen2.5-VL-Instruct-32B (1)
qwen_2_audio_7b,2,2,Qwen 2-Audio-7B (1); Qwen2-Audio-7b (1)
qwen_3b,2,2,Qwen 3B (1); Qwen-3B (1)
qwen_chat,2,2,Qwen-Chat (1); Qwen-chat (1)
qwen_chat_72b,2,2,Qwen-Chat-72B (1); Qwen-chat-72B (1)
qwen_max_0919,2,2,Qwen-Max-0919 (1); Qwen-max-0919 (1)
r,2,2,CATSEQ(R) (1); R (1)
r_1_distill_llama_8b,2,2,R1-Distill-LLaMA-8B (1); R1-Distill-Llama-8B (1)
rat,2,2,RAT (1); RAt (1)
rational_speaker_s_1,2,2,Rational Speaker S1 (1); Rational speaker S1 (1)
realise,2,2,REALISE (1); ReaLiSe (1)
recomp,2,2,RECOMP (1); Recomp (1)
recraft_v_3,2,2,RECRAFT-V3 (1); Recraft V3 (1)
redial,2,2,REDIAL (1); ReDial (1)
reflect,2,2,REFLECT (1); Reflect (1)
replay,2,2,REPLAY (1); Replay (1)
rnn_search,2,2,RNN-SEARCH (1); RNN-Search (1)
rnns,2,2,RNNs (1); Recurrent Neural Networks (RNNs) (1)
roberta_wwm,2,2,RoBERTa-wwm (1); Roberta-wwm (1)
robertas_2s,2,2,ROBERTAS2S (1); RoBERTaS2S (1)
round_trip_mt,2,2,ROUND-TRIP MT (1); Round-trip MT (1)
rule_based_model,2,2,Rule-based Model (1); rule-based model (1)
s_2s+copy,2,2,S2S+Copy (1); s2s+copy (1)
s_2sa_at_mp_gsa,2,2,S2sa-at-mp-gsa (1); s2sa-at-mp-gsa (1)
s_2t_transformer_s,2,2,S2T_TRANSFORMER_S (1); s2t_transformer_s (1)
sandwich_transformer,2,2,Sandwich Transformer (1); Sandwich-Transformer (1)
seamless_m_4t,2,2,Seamless M4T (1); Seamless-M4T (1)
segenc,2,2,SEGENC (1); SegEnc (1)
sentence_t_5_large,2,2,Sentence-T5 Large (1); sentence-t5-large (1)
separator,2,2,SEPARATOR (1); Separator (1)
seq_2seq+att,2,2,Seq2Seq+Att (1); Seq2seq+Att (1)
seq_2seq_baseline,2,2,Seq2seq baseline (1); seq2seq baseline (1)
seq_2seq_lstm,2,2,Seq2Seq LSTM (1); Seq2seq-LSTM (1)
seq_2tree,2,2,SEQ2TREE (1); Seq2Tree (1)
seqkd,2,2,SeqKD (1); Sequence-Level Knowledge Distillation (SeqKD) (1)
sevila,2,2,SEVILA (1); SeViLA (1)
share,2,2,ReSee (SHARE) (1); SHARE (1)
smn,2,2,SMN (1); Sequential Matching Network (SMN) (1)
snowflake_arctic,2,2,Snowflake Arctic (1); Snowflake-Arctic (1)
socratic,2,2,SOCRATIC (1); Socratic (1)
spark_3.5,2,2,Spark-3.5 (1); Spark3.5 (1)
speech_llama,2,2,Speech-LLaMA (1); Speech-LLaMa (1)
speech_transformer,2,2,Speech Transformer (1); Speech-Transformer (1)
sr,2,2,SR (1); Seq2Seq RNN (SR) (1)
stable_code_3b,2,2,STABLE-CODE 3B (1); Stable-Code-3B (1)
stable_diffusion_v_2,2,2,Stable Diffusion V2 (1); Stable Diffusion-v2 (1)
stablebeluga_2_70b,2,2,StableBeluga-2-70B (1); StableBeluga2-70B (1)
starling_lm_7b,2,2,Starling LM 7B (1); Starling-LM-7B (1)
steerlm,2,2,STEERLM (1); SteerLM (1)
step_1o_vision_32k,2,2,Step-1o-Vision-32k (1); Step-1o-vision-32k (1)
stsb_roberta_large,2,2,Sentence-BERT (stsb-roberta-large) (1); stsb-roberta-large (1)
summarization_systems,2,2,Summarization systems (1); summarization systems (1)
superpal,2,2,SuperPAL (1); superPAL (1)
sure,2,2,SuRE (1); SuRe (1)
t_5.1.1_base,2,2,T5.1.1-Base (1); T5.1.1-base (1)
t_5.1.1_large,2,2,T5.1.1-Large (1); T5.1.1-large (1)
t_5.1.1_xl,2,2,T5.1.1 XL (1); T5.1.1-XL (1)
t_5_based,2,2,CRYSTAL (T5-based) (1); Transformer (T5-based) (1)
t_5_v_1.1_base,2,2,T5-v1.1-Base (1); T5-v1.1-base (1)
tango_2,2,2,Tango 2 (1); Tango2 (1)
taxollama,2,2,TaxoLLaMA (1); TaxoLlama (1)
te,2,2,TE (1); Task Embeddings (TE) (1)
text_ada_001,2,2,GPT-3 (text-ada-001) (1); text-ada-001 (1)
text_bison_001,2,2,PaLM (text-bison-001) (1); text-bison-001 (1)
tiny_llama,2,2,Tiny-LLaMA (1); Tiny-Llama (1)
tlm,2,2,TLM (1); Transformer Language Model (TLM) (1)
tm,2,2,Task Module (TM) (1); Translation Model (TM) (1)
tower,2,2,TOWER (1); Tower (1)
trans,2,2,TXL (trans) (1); Trans (1)
transformer_encoder,2,2,Transformer Encoder (1); Transformer encoder (1)
transformer_language_model,2,2,Transformer language model (1); transformer language model (1)
transformer_sequence_to_sequence,2,2,Transformer sequence-to-sequence (1); Transformer-sequence-to-sequence (1)
tranx,2,2,TRANX (1); TranX (1)
tulu_3_70b,2,2,Tulu-3-70B (1); Tulu3-70B (1)
unieval,2,2,UNIEVAL (1); UniEval (1)
unified,2,2,UNIFIED (1); Unified (1)
unisar,2,2,UNISAR (1); UniSAr (1)
urm_llama_3.1_8b,2,2,URM Llama 3.1 8B (1); URM-LLaMa-3.1-8B (1)
use,2,2,USE (1); Universal Sentence Encoder (USE) (1)
vanilla,2,2,VANILLA (1); Vanilla (1)
vicuna_7b_1.5,2,2,Vicuna-7B-1.5 (1); Vicuna-7b-1.5 (1)
vicuna_7b_16k,2,2,Vicuna-7B-16k (1); Vicuna-7b-16k (1)
vicuna_v_1.3,2,2,Vicuna v1.3 (1); Vicuna-v1.3 (1)
video_llama_2,2,2,Video-LLaMA-2 (1); Video-LLaMA2 (1)
vil_bert,2,2,ViL-BERT (1); Vil-BERT (1)
vila,2,2,VILA (1); ViLa (1)
vila_1.5,2,2,VILA-1.5 (1); VILA1.5 (1)
volcano,2,2,VOLCANO (1); VolCano (1)
webgpt,2,2,WEBGPT (1); WebGPT (1)
wizardlm_2_8x_22b,2,2,WizardLM-2 8x22B (1); WizardLM-2-8x22B (1)
x_codec_2,2,2,X-Codec2 (1); X-codec2 (1)
xcomet_qe,2,2,XCOMET-QE (1); xCOMET-QE (1)
xgen_7b_8k,2,2,XGen-7B-8K (1); XGen-7B-8k (1)
xlm_100,2,2,XLM-100 (1); XLM100 (1)
xverse_13b,2,2,XVERSE-13B (1); XVERSE-13b (1)
zephyr_7b_sft_full,2,2,Zephyr 7b SFT Full (1); zephyr-7b-sft-full (1)
zephyr_β,2,2,Zephyr β (1); Zephyr-β (1)
zephyr_β_7b,2,2,Zephyr β 7B (1); Zephyr-β-7B (1)
zx_parse,2,2,ZX-PARSE (1); ZX-Parse (1)
