normalized,total_count,num_variants,variants_with_counts
claude_3_sonnet,50,6,Claude-3-Sonnet (26); Claude 3 Sonnet (12); Claude-3-sonnet (6); Claude-3 Sonnet (4); Claude 3-Sonnet (1); Claude3-sonnet (1)
alpaca,49,2,Alpaca (48); ALPACA (1)
instructblip,49,2,InstructBLIP (47); InstructBlip (2)
flan_t_5_xl,47,5,Flan-T5-XL (28); FLAN-T5-XL (9); Flan-T5-xl (5); Flan-T5 XL (4); FLAN-T5-xl (1)
opt_1.3b,47,4,OPT-1.3B (42); OPT-1.3b (3); OPT (1.3B) (1); OPT 1.3B (1)
palm_2,47,4,PaLM-2 (24); PaLM 2 (12); PaLM2 (10); PALM2 (1)
gemma_7b,47,3,Gemma-7B (38); Gemma 7B (7); Gemma (7B) (2)
dpr,47,2,DPR (44); Dense Passage Retriever (DPR) (3)
flan_t_5_large,46,10,Flan-T5-large (19); FLAN-T5-Large (9); Flan-T5-Large (8); FLAN-T5-large (4); FLAN-T5 Large (1); FLAN-T5-LARGE (1); Flan-T5 Large (1); Propositionizer (Flan-T5-large) (1); flan-T5-large (1); flan-t5-large (1)
gemini_pro,45,3,Gemini-Pro (25); Gemini Pro (19); Gemini-pro (1)
gemma_2,43,4,Gemma-2 (26); Gemma 2 (8); Gemma2 (8); gemma-2 (1)
qwen_2.5_32b_instruct,43,4,Qwen2.5-32B-Instruct (33); Qwen-2.5-32B-Instruct (7); Qwen2.5-32B-instruct (2); Qwen-2.5-32B Instruct (1)
claude_2,43,3,Claude-2 (31); Claude 2 (9); Claude2 (3)
comet,43,3,COMET (41); COMeT (1); CoMET (1)
llama_3.3_70b_instruct,41,9,Llama-3.3-70B-Instruct (21); LLaMA-3.3-70B-Instruct (6); Llama3.3-70B-Instruct (5); LLaMA3.3-70B-Instruct (3); Llama 3.3 70B Instruct (2); Llama 3.3-70B Instruct (1); Llama-3.3 70B Instruct (1); Llama-3.3 70B-Instruct (1); Llama-3.3-70b-Instruct (1)
llava_1.5_7b,41,5,LLaVA-1.5-7B (33); LLaVA1.5-7B (4); LLaVA-1.5 (7B) (2); LLaVA-1.5-7b (1); Llava1.5-7B (1)
